index,jempol_kanan,telunjuk_kanan,tengah_kanan,manis_kanan,kelingking_kanan,jempol_kiri,telunjuk_kiri,tengah_kiri,manis_kiri,kelingking_kiri
1,58.8839950562,95.2952880859,102.097213745,97.4101867676,88.4165115356,69.8730163574,96.7386474609,102.21292877200001,95.4550323486,86.2325057983
1,58.884117126499994,95.2905197144,102.115783691,97.4262466431,88.42658233639999,69.8464126587,96.79141998290001,102.277038574,95.47240448,86.2400970459
1,58.884223938000005,95.2834777832,102.127914429,97.439453125,88.4367294312,69.8317947388,96.8299407959,102.30857086200001,95.4935913086,86.25001525879999
1,57.136554718,94.6625823975,101.55027008100001,96.8971939087,88.2301101685,67.04363250729999,97.76421356200001,102.441040039,94.9611434937,85.7683181763
1,56.9437484741,94.5723190308,101.59690094,96.8932723999,88.13221740719999,67.04774475100001,97.77500915530001,102.464706421,94.9736251831,85.7693862915
1,56.6835975647,94.56951904299999,101.70391845700001,96.9426345825,88.07160186770001,67.0575942993,97.7859115601,102.48157501200001,94.9796905518,85.7696838379
1,56.4494438171,94.5275650024,101.732185364,96.9490280151,87.988899231,67.0756378174,97.8018951416,102.49339294399999,94.9865570068,85.7685317993
1,56.305885314899996,94.5517272949,101.80785369899999,97.0216369629,87.97673797610001,67.1002502441,97.8192901611,102.50077819799999,94.991897583,85.7673873901
1,56.1697120667,94.53009796139999,101.828620911,97.048324585,87.93397521969999,67.1195297241,97.83173370360001,102.508430481,94.9914321899,85.7644195557
1,56.0894966125,94.56518554690001,101.896697998,97.1216049194,87.9550552368,67.1319351196,97.8376617432,102.50984954799999,94.9882202148,85.7597503662
1,55.959197998,94.55079650879999,101.91986084,97.1495513916,87.94709014889999,67.1517868042,97.84385681149999,102.510879517,94.9844589233,85.75788879390001
1,55.9336776733,94.5902328491,101.995018005,97.227897644,87.9790267944,67.1779327393,97.8471450806,102.50983429,94.9816513062,85.7552566528
1,55.904731750500005,94.5865249634,102.00904846200001,97.2786254883,87.95999908450001,67.2074432373,97.8493804932,102.50962066700001,94.9806137085,85.754196167
1,55.8797302246,94.6297988892,102.077484131,97.3801574707,87.99446105959998,67.2446746826,97.8500289917,102.509643555,94.9792861938,85.75337982180001
1,55.813346862799996,94.6186447144,102.097297668,97.41812896729999,87.9870910645,67.28531646729999,97.85082244870001,102.510025024,94.9787902832,85.7521438599
1,55.782382965100005,94.6603240967,102.17854309100001,97.50826263430001,88.0265579224,67.31651306149999,97.8527908325,102.509971619,94.9783706665,85.7490844727
1,55.6909141541,94.652633667,102.205291748,97.5425262451,88.0247573853,67.33702087399999,97.85564422610001,102.509124756,94.9777908325,85.7447967529
1,55.6156578064,94.70338439940001,102.284088135,97.6253585815,88.0602416992,67.3467483521,97.8593063354,102.509216309,94.976776123,85.7421875
1,55.530605316199996,94.7102661133,102.30454254200001,97.6509780884,88.05974578860001,67.3498687744,97.86265563959999,102.50859832799999,94.9644851685,85.73876953119999
1,55.4556388855,94.7642745972,102.377243042,97.7188949585,88.1024703979,67.3564987183,97.865524292,102.50847625700001,94.9486694336,85.7336349487
1,55.3596076965,94.77521514889999,102.39173126200001,97.73601531979999,88.11108398440001,67.359046936,97.86729431149999,102.508102417,94.93753814700001,85.724937439
1,55.291213989300005,94.8356704712,102.463874817,97.80540466309999,88.16918945309999,67.3602294922,97.86923980709999,102.507865906,94.929359436,85.7178955078
1,55.2288246155,94.8522567749,102.48188018799999,97.8292388916,88.16976165770001,67.3633117676,97.8712844849,102.50795745799999,94.92944335940001,85.7114028931
1,58.3199691772,97.6473922729,105.834815979,101.23621368399999,90.56359863280001,69.61628723140001,97.9369430542,103.054695129,95.60682678219999,85.4669723511
1,58.4358901978,97.6544265747,105.846382141,101.23057556200001,90.5639572144,69.6561660767,97.9665985107,103.10272216799999,95.645652771,85.5146102905
